dataset,real,name,family,ratio,comp,enc,dec,ok,embedded,neural,cost,pct_of_flac,xchan_gain
synth_sc0.6,False,LMS+Rice+xchan_bestpartner,cross-channel,2.5922475596419456,790048,2.8362539653928884,1.237521393658628,True,OK,OK,0.0629,244.3,
synth_sc0.6,False,LMS+Rice+xchan,cross-channel,2.571901474071265,796298,3.3692303107197494,1.2209497461048857,True,OK,OK,0.0572,242.4,9.4
synth_sc0.6,False,LMS+Rice+iklt,cross-channel,2.4912326370938214,822083,2.6301793630395256,1.1654681119886587,True,OK,OK,0.068,234.8,
synth_sc0.6,False,delta+Rice+xchan,cross-channel,2.38067284231181,860261,4.3656557088462975,1.2684598920082786,True,OK,OK,0.0127,224.4,8.2
synth_sc0.6,False,LMS+Rice,temporal,2.3516389131937507,870882,3.0678456599264714,1.1794667576652336,True,OK,OK,0.0523,221.7,
synth_sc0.6,False,fixed0-3+Rice,temporal,2.3458368268891547,873036,1.2495503876092913,1.3002353886341274,True,OK,OK,0.0193,221.1,
synth_sc0.6,False,wavpack,,2.3263950418705672,880332,5.252384230444102,inf,True,ref,,,219.3,
synth_sc0.6,False,delta+Rice,temporal,2.1994709670906305,931133,4.1496617913183265,1.2234166364769306,True,OK,OK,0.0079,207.3,
synth_sc0.6,False,lzma,,2.1544469130815322,950592,1.6188651170746524,36.530107800922366,True,ref,,,203.1,
synth_sc0.6,False,zstd-19,,1.9945675304273809,1026789,1.3598576633796284,404.99712665722035,True,ref,,,188.0,
synth_sc0.6,False,gzip-9,,1.8078170432657932,1132858,8.954180683571332,208.05212518319246,True,ref,,,170.4,
synth_sc0.6,False,mtscomp,,1.7136110755503344,1195137,8.027182171050672,140.02177037749425,True,ref,,,161.5,
synth_sc0.6,False,flac,,1.0608798983461567,1930473,5.881051224812703,6.826860367406463,True,ref,,,100.0,
synth_sc0.9,False,LMS+Rice+xchan_bestpartner,cross-channel,2.5580942198062444,800596,2.920062529717211,1.1705936680477345,True,OK,OK,0.0629,252.7,
synth_sc0.9,False,LMS+Rice+xchan,cross-channel,2.533455717717614,808382,3.1719505945340516,1.152265243249075,True,OK,OK,0.0572,250.2,19.1
synth_sc0.9,False,delta+Rice+xchan,cross-channel,2.3564634178614865,869099,3.695563192543363,1.1893359863609614,True,OK,OK,0.0127,232.7,17.1
synth_sc0.9,False,LMS+Rice+iklt,cross-channel,2.349831105889264,871552,2.900060121871367,1.1153445583486603,True,OK,OK,0.068,232.1,
synth_sc0.9,False,LMS+Rice,temporal,2.127621998032365,962577,2.890823532387959,1.0278249539505928,True,OK,OK,0.0523,210.1,
synth_sc0.9,False,fixed0-3+Rice,temporal,2.121268618068071,965460,1.1584854595101926,1.2456654582698183,True,OK,OK,0.0193,209.5,
synth_sc0.9,False,wavpack,,2.110409015403513,970428,5.476511301856083,inf,True,ref,,,208.4,
synth_sc0.9,False,delta+Rice,temporal,2.012513352063072,1017633,3.4653525607561337,1.1942081436827525,True,OK,OK,0.0079,198.8,
synth_sc0.9,False,lzma,,1.9413499965874708,1054936,1.3406958984052209,33.586287165019286,True,ref,,,191.7,
synth_sc0.9,False,zstd-19,,1.8169043073407192,1127192,1.4568540798848484,175.84750037665452,True,ref,,,179.4,
synth_sc0.9,False,gzip-9,,1.6246296391783246,1260595,11.29162468880332,161.87376470556174,True,ref,,,160.5,
synth_sc0.9,False,mtscomp,,1.5523842514862487,1319261,11.548226391480389,114.1041282634059,True,ref,,,153.3,
synth_sc0.9,False,flac,,1.012492015748997,2022732,5.3844146299185764,6.9583770542409775,True,ref,,,100.0,
otb_hdsemg_vl,True,LMS+Rice+xchan_bestpartner,cross-channel,2.251841166031504,454739,2.2056660752693062,1.0774123929232422,True,OK,OK,0.0629,234.0,
otb_hdsemg_vl,True,LMS+Rice+xchan,cross-channel,2.241293646676691,456879,2.656985242093847,1.0474828261403994,True,OK,OK,0.0572,232.9,18.0
otb_hdsemg_vl,True,delta+Rice+xchan,cross-channel,2.194152497884057,466695,3.926873907489574,1.2640319614036444,True,OK,OK,0.0127,228.0,17.2
otb_hdsemg_vl,True,LMS+Rice+iklt,cross-channel,2.0669039030977316,495427,2.36901960145845,0.9397039932973005,True,OK,OK,0.068,214.7,
otb_hdsemg_vl,True,wavpack,,1.907415824100497,536852,5.530651570434598,inf,True,ref,,,198.2,
otb_hdsemg_vl,True,LMS+Rice,temporal,1.8997933232654183,539006,2.432368579547547,1.0164113115384927,True,OK,OK,0.0523,197.4,
otb_hdsemg_vl,True,fixed0-3+Rice,temporal,1.8916337693573801,541331,1.0664429047278152,1.140697034418987,True,OK,OK,0.0193,196.5,
otb_hdsemg_vl,True,delta+Rice,temporal,1.8721387722864957,546968,2.729317321295691,1.124300497889785,True,OK,OK,0.0079,194.5,
otb_hdsemg_vl,True,lzma,,1.6974551434216982,603256,1.7614788446098137,21.05683472056761,True,ref,,,176.4,
otb_hdsemg_vl,True,mtscomp,,1.5684736790510734,652864,10.379370975852405,117.92706786638634,True,ref,,,163.0,
otb_hdsemg_vl,True,zstd-19,,1.551646806395694,659944,2.3803738086495354,304.75718828631227,True,ref,,,161.2,
otb_hdsemg_vl,True,gzip-9,,1.4239626209811993,719120,18.865270209278222,142.58168649709808,True,ref,,,147.9,
otb_hdsemg_vl,True,flac,,0.9625181882099042,1063876,5.926459787458069,7.319747500733027,True,ref,,,100.0,
