config,mean_ratio,cost,embedded_ok,neural_ok,on_pareto
lms4s7+x6/b512,2.1633,0.0271,True,True,True
lms4s7+x7/b512,2.163,0.0271,True,True,False
lms4s7+x8/b512,2.1629,0.0271,True,True,False
lms4s7+x9/b512,2.1628,0.0271,True,True,False
lms4s7+x10/b512,2.1628,0.0271,True,True,False
lms4s7+x6/b256,2.1596,0.0271,True,True,False
lms4s7+x7/b256,2.1594,0.0271,True,True,False
lms4s7+x8/b256,2.1593,0.0271,True,True,False
lms4s7+x9/b256,2.1592,0.0271,True,True,False
lms4s7+x10/b256,2.1592,0.0271,True,True,False
lms4s8+x6/b512,2.1571,0.0271,True,True,False
lms4s8+x8/b512,2.1567,0.0271,True,True,False
lms4s8+x6/b256,2.1536,0.0271,True,True,False
lms4s7+x6/b128,2.1533,0.0271,True,True,False
lms4s8+x10/b256,2.1532,0.0271,True,True,False
lms4s8+x8/b256,2.1532,0.0271,True,True,False
lms4s8+x7/b256,2.1532,0.0271,True,True,False
lms4s8+x9/b256,2.1531,0.0271,True,True,False
lms4s7+x8/b128,2.1529,0.0271,True,True,False
lms4s6+x6/b512,2.1506,0.0271,True,True,False
lms4s6+x8/b512,2.15,0.0271,True,True,False
lms4s8+x8/b128,2.1473,0.0271,True,True,False
lms4s6+x8/b256,2.1464,0.0271,True,True,False
lms8s8+x8/b512,2.146,0.0402,True,True,False
lms8s8+x6/b256,2.1431,0.0402,True,True,False
lms8s8+x7/b256,2.1427,0.0402,True,True,False
lms8s8+x8/b256,2.1427,0.0402,True,True,False
lms8s8+x10/b256,2.1426,0.0402,True,True,False
lms8s8+x9/b256,2.1425,0.0402,True,True,False
lms8s7+x6/b512,2.1397,0.0402,True,True,False
lms8s7+x8/b512,2.1392,0.0402,True,True,False
lms8s8+x8/b128,2.137,0.0402,True,True,False
lms8s7+x8/b256,2.1359,0.0402,True,True,False
fixed+x6/b512,2.1328,0.0252,True,True,True
fixed+x8/b512,2.1326,0.0252,True,True,False
lms4s9+x6/b512,2.1311,0.0271,True,True,False
lms4s9+x8/b512,2.1308,0.0271,True,True,False
lms12s8+x8/b256,2.1306,0.0532,True,True,False
fixed+x8/b256,2.1289,0.0252,True,True,False
lms4s9+x8/b256,2.1278,0.0271,True,True,False
lms8s9+x8/b256,2.1252,0.0402,True,True,False
lms16s8+x8/b256,2.1175,0.0663,True,True,False
lms12s7+x6/b512,2.1159,0.0532,True,True,False
lms12s7+x8/b512,2.1153,0.0532,True,True,False
lms12s7+x8/b256,2.1122,0.0532,True,True,False
lms8s6+x8/b256,2.1029,0.0402,True,True,False
lms16s7+x6/b512,2.0916,0.0663,True,True,False
lms16s7+x8/b512,2.0907,0.0663,True,True,False
lms4s10+x6/b512,2.0892,0.0271,True,True,False
lms4s10+x8/b512,2.089,0.0271,True,True,False
lms16s7+x8/b256,2.0875,0.0663,True,True,False
lms4s10+x8/b256,2.0863,0.0271,True,True,False
lms8s10+x8/b256,2.0841,0.0402,True,True,False
delta+x6/b512,2.0442,0.0163,True,True,True
delta+x8/b512,2.0441,0.0163,True,True,False
delta+x8/b256,2.041,0.0163,True,True,False
lms4s7/b512,1.8371,0.0222,True,True,False
lms4s8/b256,1.8347,0.0222,True,True,False
lms4s7/b256,1.834,0.0222,True,True,False
lms8s8/b256,1.8254,0.0353,True,True,False
